,length,expected_length,expansions,steps,nodes_created,memory,time,map_name
146,2.0,2.0,2,3,10,19,0.000997,city
54,2.414213562373095,2.41421356,2,3,15,37,0.0,empty
41,4.414213562373095,3.82842712,7,10,52,50,0.001,empty
48,6.656854249492381,6.65685425,7,10,52,57,0.001037,empty
121,6.656854249492381,6.65685425,7,11,53,62,0.001,city
61,8.65685424949238,8.07106781,7,10,52,74,0.000998,empty
14,10.242640687119286,10.24264069,18,24,132,81,0.002006,empty
55,13.313708498984761,13.3137085,17,25,127,109,0.001999,empty
170,15.31370849898476,15.3137085,26,37,193,111,0.003,city
178,16.82842712474619,16.0,37,50,272,125,0.003971,city
71,17.313708498984763,16.14213562,17,24,126,124,0.003032,empty
75,19.727922061357855,18.55634918,24,34,178,142,0.002035,empty
45,25.313708498984763,23.65685425,22,30,162,164,0.002852,empty
147,25.798989873223338,25.79898987,30,43,223,171,0.002999,city
46,26.656854249492383,25.0,46,62,338,185,0.004958,empty
74,28.31370849898476,28.3137085,43,59,317,186,0.004951,empty
116,28.970562748477146,26.62741699,37,51,273,187,0.003774,empty
28,33.38477631085024,33.38477631,51,69,375,215,0.006033,empty
129,34.72792206135785,31.65685425,52,70,381,208,0.004997,city
107,38.04163056034262,36.28427124,51,70,376,250,0.005122,empty
35,39.28427124746191,38.6984848,38,53,281,242,0.005001,empty
148,40.62741699796952,39.45584412,52,70,382,249,0.004188,city
17,42.941125496954285,40.59797974,55,77,407,277,0.007033,empty
151,42.970562748477136,40.97056274,71,95,467,252,0.007002,city
112,47.384776310850235,45.97056274,75,100,550,290,0.008102,empty
102,49.970562748477136,47.48528137,93,124,682,308,0.008062,empty
153,51.38477631085023,50.55634918,70,95,515,326,0.008003,city
43,52.698484809835,51.52691193,68,93,501,315,0.007944,empty
34,56.384776310850235,54.38477631,84,112,616,343,0.008242,empty
141,58.21320343559642,54.07106781,69,93,507,360,0.004211,city
99,59.0416305603426,58.21320343,72,97,529,363,0.008001,empty
60,59.97056274847713,55.82842712,97,130,712,376,0.009892,empty
69,63.31370849898475,60.82842712,126,168,924,407,0.010916,empty
161,64.01219330881977,63.42640686,74,103,547,400,0.008876,city
53,68.28427124746189,65.79898987,98,132,720,416,0.011997,empty
76,72.2842712474619,68.97056274,134,180,984,435,0.01283,empty
62,73.04163056034261,66.41421356,87,117,639,445,0.009864,empty
127,74.25483399593902,69.91168823,108,151,798,460,0.017027,city
58,76.76955262170043,76.76955261,124,168,912,470,0.012035,empty
10,77.39696961966999,72.7106781,97,136,718,492,0.011702,empty
130,79.21320343559641,74.24264069,147,198,1080,487,0.014,city
97,79.6690475583121,74.98275604,108,149,797,481,0.011729,empty
98,84.52691193458116,82.87005768,119,160,874,525,0.012188,empty
15,84.79898987322332,80.65685425,124,166,910,517,0.01301,empty
176,86.18376618407355,81.35533905,267172,369104,1935148,47952,27.046848,city
70,91.52691193458116,90.6984848,124,166,910,546,0.013838,empty
33,91.91168824543139,87.81118317,123,168,906,562,0.013753,empty
12,96.52691193458116,94.04163055,154,207,1131,583,0.017189,empty
86,97.95331880577399,95.61017303,122,173,905,614,0.014141,empty
83,99.0121933088197,97.84062042,140,188,1028,595,0.013931,empty
143,102.39696961966996,95.56854248,141,190,1011,543,0.014966,city
155,103.91168824543138,87.08326111,2050,3178,13721,2520,0.198255,city
90,106.32590180780447,102.56854248,141,192,1038,618,0.015442,empty
88,108.09545442950494,102.82337646,140,200,1040,686,0.016013,empty
51,110.28427124746187,106.14213562,187,251,1373,679,0.019001,empty
36,110.84062043356589,108.35533905,170,227,1247,645,0.016341,empty
96,111.35533905932735,108.04163055,158,211,1159,665,0.017718,empty
169,113.42640687119281,105.97056274,184,249,1353,695,0.017962,city
123,114.42640687119281,96.12489166,175191,242560,1266823,34474,17.953396,city
140,119.15432893255064,110.76955261,178,238,1169,727,0.018999,city
114,119.35533905932733,114.38477631,208,278,1523,704,0.020022,empty
22,125.15432893255063,118.7106781,160,216,1138,693,0.015899,empty
133,127.8822509939085,116.61017303,711,968,5129,1708,0.069231,city
104,128.56854249492375,128.56854248,169,228,1242,747,0.017934,empty
109,129.11269837220806,122.48528137,222,296,1628,768,0.020794,empty
56,131.09545442950494,122.89444427,158,219,1167,801,0.017971,empty
67,134.48023074035515,129.79393921,178,255,1323,847,0.020455,empty
80,135.3380951166242,127.7228714,168,234,1242,811,0.018742,empty
162,135.56854249492378,126.29646454,186,251,1317,737,0.074444,city
101,140.46803743153544,135.49747467,185,250,1360,821,0.020771,empty
135,144.09545442950488,131.12489166,207,285,1463,878,0.022036,city
95,148.65180361560894,139.27922058,186,262,1378,946,0.020891,empty
23,149.71067811865473,148.88225098,189,254,1388,866,0.020728,empty
113,149.76955262170048,142.79898987,228,306,1555,803,0.021665,empty
38,150.4802307403551,139.35028839,199,281,1475,944,0.021791,empty
128,150.953318805774,141.3969696,306,417,2168,1054,0.030006,city
47,153.3086578651013,144.52186127,200,279,1479,942,0.021847,empty
81,154.9655121145937,150.27922058,175,249,1299,967,0.021998,empty
27,155.19595949289325,154.0243866,199,269,1463,909,0.023572,empty
163,157.19595949289325,139.59797974,1315,1790,9061,2263,0.118075,city
4,158.63961030678925,157.46803741,229,306,1680,919,0.026966,empty
37,162.08326112068522,157.94112549,232,310,1702,956,0.024301,empty
39,164.8233764908627,160.13708496,214,298,1582,1002,0.029774,empty
152,169.8822509939085,150.99494934,3264,4731,22415,2883,0.298405,city
21,174.30865786510128,169.03657989,209,289,1543,1052,0.023769,empty
7,174.32590180780454,166.87005768,264,352,1936,1038,0.027886,empty
158,175.33809511662423,152.42640686,1842,2567,13089,3067,0.195723,city
84,176.4213562373094,167.63455963,210,302,1562,1085,0.024866,empty
125,177.26702730475878,165.55129852,476,891,2643,1007,0.038962,city
68,179.85281374238568,175.75230865,261,356,1922,1086,0.026979,empty
89,182.0071426749363,176.14927826,224,317,1661,1146,0.024095,empty
156,182.12489168102786,160.26702728,3125,4291,21932,3300,0.30678,city
65,185.5807358037435,182.06601715,263,356,1934,1056,0.027767,empty
171,187.35028842544392,173.99494934,290,406,2055,1123,0.031001,city
20,187.8822509939086,178.76955261,287,384,2106,1108,0.030831,empty
63,191.55129855222057,186.37972565,244,336,1800,1129,0.026898,empty
78,192.0954544295049,192.09545441,280,379,2059,1130,0.02889,empty
0,192.2964645562817,187.32590179,286,383,2099,1150,0.035942,empty
5,199.982756057297,189.21320343,342,456,2508,1183,0.037001,empty
173,200.06601717798216,176.0243866,1358,1880,9344,2573,0.13593,city
11,201.13708498984755,194.1076477,277,377,2039,1164,0.028854,empty
42,202.78174593052032,196.63961029,309,413,2267,1178,0.03186,empty
144,203.20815280171308,193.00714264,184097,254585,1329789,37076,19.105822,city
77,208.7228714274745,205.20815277,256,348,1884,1218,0.029729,empty
1,210.45079348883223,205.17871551,263,361,1939,1224,0.029034,empty
93,212.19595949289334,211.36753235,272,365,1997,1253,0.030614,empty
122,214.86500705120548,186.15432892,2846,4484,17821,3646,0.258998,city
50,215.74011537017765,203.3137085,309,414,2268,1305,0.035003,empty
2,216.0660171779822,212.30865784,271,365,1991,1259,0.031999,empty
174,219.62236636408622,199.119841,289,398,1922,1131,0.029637,city
120,223.50966799187813,217.0243866,317,426,2251,1238,0.031999,city
87,225.0365799264592,220.1076477,275,374,2024,1297,0.031377,empty
110,228.20815280171306,219.4213562,350,478,2578,1356,0.036688,empty
29,228.48023074035532,220.27922058,320,433,2353,1322,0.033623,empty
85,229.05382386916253,215.21320343,527,712,3695,1591,0.050613,empty
13,230.30865786510148,227.96551208,291,392,2122,1316,0.034346,empty
57,235.350288425444,232.76450195,297,407,2189,1370,0.034286,empty
154,236.40916292848988,220.1076477,5217,7131,37342,4627,0.520704,city
168,236.75230867899748,205.07821045,2482,3359,17468,3397,0.237069,city
149,239.3086578651016,228.48023071,2032,2792,14217,2628,0.208794,city
117,242.58073580374364,232.05382385,387,520,2842,1403,0.038692,empty
118,242.8650070512054,240.52186127,317,432,2334,1448,0.035683,empty
132,244.45079348883243,208.75230865,4770,7427,31747,5492,0.457469,city
59,245.68124086713203,236.22539673,380,511,2791,1441,0.037891,empty
19,246.03657992645924,229.7350647,484,656,3396,1738,0.051517,empty
16,252.27922061357856,245.79393921,350,480,2519,1523,0.040822,empty
25,255.09545442950514,248.46803741,396,529,2905,1488,0.041103,empty
126,258.45079348883246,233.66399689,12606,18138,89469,10626,1.313212,city
119,259.68124086713203,249.98275604,374,500,2744,1512,0.038873,empty
139,261.7939392393402,248.48023071,2970,4069,20754,4504,0.355676,city
92,263.5340546095175,254.16147156,375,527,2777,1588,0.041494,empty
26,268.3086578651016,263.33809509,416,559,3055,1537,0.046811,empty
91,272.30865786510157,243.36248169,791,1061,5349,2275,0.076704,empty
172,273.4091629284899,252.05382385,419,563,2995,1587,0.042001,city
131,274.24978336205595,261.94826813,664,910,4515,1953,0.064103,city
124,277.45079348883246,240.90663757,1560,2116,10815,3236,0.159248,city
106,277.5096679918783,257.87005768,445,598,3134,1533,0.04442,empty
44,278.2375900532361,271.61017303,404,541,2965,1617,0.041707,empty
82,278.4386001800127,272.63961029,383,511,2809,1636,0.040512,empty
49,280.19595949289356,262.79898987,460,616,3376,1693,0.04655,empty
72,281.74725804511405,267.4457428,366,517,2713,1717,0.040765,empty
115,285.55129855222094,278.92388153,406,543,2979,1633,0.041718,empty
8,291.3502884254442,288.17871551,409,551,2962,1653,0.044815,empty
31,291.6518036156093,271.12489166,423,565,3023,1637,0.045723,empty
30,291.66399692442906,286.39191894,393,528,2886,1640,0.044625,empty
165,292.4507934888325,276.24978332,2837,3897,19992,4209,0.280003,city
134,293.07821048680205,265.17871551,2015,2791,14346,3748,0.209463,city
167,293.24978336205584,275.77669525,9987,14345,70500,7257,1.074563,city
40,304.68124086713215,283.97056274,480,645,3525,1817,0.058428,empty
105,311.36248173426435,306.53405456,430,586,3166,1780,0.045623,empty
108,312.96551211459405,279.28427124,968,1319,6950,2527,0.096448,empty
103,313.6812408671321,294.62741699,525,700,3812,1821,0.051458,empty
64,314.26702730475904,291.07106781,488,654,3582,1865,0.050564,empty
3,315.8599564173223,300.62950897,453,639,3357,1933,0.047001,empty
32,315.9533188057742,298.84062042,546,732,3879,1928,0.055444,empty
175,316.17871555019053,289.35028839,1826,2802,12015,3408,0.172783,city
100,320.40411229460676,311.03152923,413,574,3052,1920,0.047513,empty
9,321.9238815542515,298.38477631,504,675,3659,1911,0.105064,empty
73,326.9533188057744,305.41421356,530,707,3887,1958,0.055505,empty
52,330.55129855222106,316.46803741,505,676,3706,1938,0.053395,empty
137,330.9604614807108,317.00209198,413,577,3032,1987,0.047113,city
111,335.1248916810282,315.24264069,536,715,3931,2000,0.053584,empty
18,336.99494936611694,317.84062042,872,1171,6086,2669,0.086164,empty
166,343.948268171891,303.06096649,6130,8545,44150,5944,0.658383,city
94,344.2792206135788,335.99494934,518,693,3801,1970,0.11012,empty
24,344.6000717875002,328.19805145,460,659,3419,2127,0.050976,empty
160,345.19090885901045,330.06096649,5222,7175,37378,6058,0.535966,city
179,347.3208511739218,286.96046142,7284,9924,51759,7778,0.722726,city
66,348.3797256769672,327.22539673,617,828,4274,2146,0.07053,empty
79,349.5807358037439,322.72792206,548,732,3963,2033,0.054551,empty
6,351.65894629054577,324.12698364,509,706,3760,2088,0.058136,empty
136,355.73506473629476,297.03152923,18417,25237,132854,12951,1.9418929999999999,city
142,372.3624817342644,311.41630554,33651,46265,243820,15525,3.579517,city
150,377.6173157302037,333.45793609,1859,2742,12316,3551,0.178877,city
164,380.57568516986066,356.07315979,9523,13021,68910,8291,1.002376,city
157,380.8772003600259,323.24473266,10656,14540,75952,9916,1.108897,city
145,386.3624817342643,344.30360718,10726,14841,76631,9824,1.15237,city
159,406.88939366884586,340.36248169,7826,11234,53388,6687,0.766087,city
138,413.94826817189136,355.00209198,11496,15710,82827,11732,1.178336,city
177,432.3330444827415,365.24473266,12464,16907,90327,10151,1.327629,city
